methods,threads,best_positions,best_value,cost_time
PCC,1,"(581,1280) ",1.00,0.281529
SSD,1,"(581,1280) ",0.00,0.146937
PCC,2,"(581,1280) ",1.00,0.159666
SSD,2,"(581,1280) ",0.00,0.095568
PCC,3,"(581,1280) ",1.00,0.126815
SSD,3,"(581,1280) ",0.00,0.074108
PCC,4,"(581,1280) ",1.00,0.084938
SSD,4,"(581,1280) ",0.00,0.049518
PCC,5,"(581,1280) ",1.00,0.084739
SSD,5,"(581,1280) ",0.00,0.045094
PCC,6,"(581,1280) ",1.00,0.058216
SSD,6,"(581,1280) ",0.00,0.034150
PCC,7,"(581,1280) ",1.00,0.055341
SSD,7,"(581,1280) ",0.00,0.031375
PCC,8,"(581,1280) ",1.00,0.059811
SSD,8,"(581,1280) ",0.00,0.026327
PCC,9,"(581,1280) ",1.00,0.053845
SSD,9,"(581,1280) ",0.00,0.025388
PCC,10,"(581,1280) ",1.00,0.042671
SSD,10,"(581,1280) ",0.00,0.025328
PCC,11,"(581,1280) ",1.00,0.049075
SSD,11,"(581,1280) ",0.00,0.029171
PCC,12,"(581,1280) ",1.00,0.042221
SSD,12,"(581,1280) ",0.00,0.023148
PCC,13,"(581,1280) ",1.00,0.044092
SSD,13,"(581,1280) ",0.00,0.024456
PCC,14,"(581,1280) ",1.00,0.034067
SSD,14,"(581,1280) ",0.00,0.021424
PCC,15,"(581,1280) ",1.00,0.035769
SSD,15,"(581,1280) ",0.00,0.022573
PCC,16,"(581,1280) ",1.00,0.042208
SSD,16,"(581,1280) ",0.00,0.020089
PCC,17,"(581,1280) ",1.00,0.029510
SSD,17,"(581,1280) ",0.00,0.018850
PCC,18,"(581,1280) ",1.00,0.033720
SSD,18,"(581,1280) ",0.00,0.018690
PCC,19,"(581,1280) ",1.00,0.029052
SSD,19,"(581,1280) ",0.00,0.018845
PCC,20,"(581,1280) ",1.00,0.027004
SSD,20,"(581,1280) ",0.00,0.017258
PCC,21,"(581,1280) ",1.00,0.036767
SSD,21,"(581,1280) ",0.00,0.018372
PCC,22,"(581,1280) ",1.00,0.026438
SSD,22,"(581,1280) ",0.00,0.015981
PCC,23,"(581,1280) ",1.00,0.026125
SSD,23,"(581,1280) ",0.00,0.017619
PCC,24,"(581,1280) ",1.00,0.025970
SSD,24,"(581,1280) ",0.00,0.015351
PCC,25,"(581,1280) ",1.00,0.025857
SSD,25,"(581,1280) ",0.00,0.014745
PCC,26,"(581,1280) ",1.00,0.024622
SSD,26,"(581,1280) ",0.00,0.014796
PCC,27,"(581,1280) ",1.00,0.023993
SSD,27,"(581,1280) ",0.00,0.014675
PCC,28,"(581,1280) ",1.00,0.023908
SSD,28,"(581,1280) ",0.00,0.015100
PCC,29,"(581,1280) ",1.00,0.021896
SSD,29,"(581,1280) ",0.00,0.014221
PCC,30,"(581,1280) ",1.00,0.023411
SSD,30,"(581,1280) ",0.00,0.015847
PCC,31,"(581,1280) ",1.00,0.037409
SSD,31,"(581,1280) ",0.00,0.017976
PCC,32,"(581,1280) ",1.00,0.028171
SSD,32,"(581,1280) ",0.00,0.016721
