methods,threads,best_positions,best_value,cost_time
PCC,1,"(7691,688) ",1.00,0.488946
SSD,1,"(7691,688) ",0.00,0.226849
PCC,2,"(7691,688) ",1.00,0.274736
SSD,2,"(7691,688) ",0.00,0.141933
PCC,3,"(7691,688) ",1.00,0.192932
SSD,3,"(7691,688) ",0.00,0.094265
PCC,4,"(7691,688) ",1.00,0.143438
SSD,4,"(7691,688) ",0.00,0.073843
PCC,5,"(7691,688) ",1.00,0.112741
SSD,5,"(7691,688) ",0.00,0.059243
PCC,6,"(7691,688) ",1.00,0.139380
SSD,6,"(7691,688) ",0.00,0.048138
PCC,7,"(7691,688) ",1.00,0.089723
SSD,7,"(7691,688) ",0.00,0.053506
PCC,8,"(7691,688) ",1.00,0.080010
SSD,8,"(7691,688) ",0.00,0.038822
PCC,9,"(7691,688) ",1.00,0.086547
SSD,9,"(7691,688) ",0.00,0.043143
PCC,10,"(7691,688) ",1.00,0.088973
SSD,10,"(7691,688) ",0.00,0.034719
PCC,11,"(7691,688) ",1.00,0.066545
SSD,11,"(7691,688) ",0.00,0.036325
PCC,12,"(7691,688) ",1.00,0.063462
SSD,12,"(7691,688) ",0.00,0.029199
PCC,13,"(7691,688) ",1.00,0.065875
SSD,13,"(7691,688) ",0.00,0.032541
PCC,14,"(7691,688) ",1.00,0.058621
SSD,14,"(7691,688) ",0.00,0.033184
PCC,15,"(7691,688) ",1.00,0.056066
SSD,15,"(7691,688) ",0.00,0.031078
PCC,16,"(7691,688) ",1.00,0.050826
SSD,16,"(7691,688) ",0.00,0.029166
PCC,17,"(7691,688) ",1.00,0.054271
SSD,17,"(7691,688) ",0.00,0.029249
PCC,18,"(7691,688) ",1.00,0.050380
SSD,18,"(7691,688) ",0.00,0.025874
PCC,19,"(7691,688) ",1.00,0.042968
SSD,19,"(7691,688) ",0.00,0.025311
PCC,20,"(7691,688) ",1.00,0.055716
SSD,20,"(7691,688) ",0.00,0.023605
PCC,21,"(7691,688) ",1.00,0.042650
SSD,21,"(7691,688) ",0.00,0.022526
PCC,22,"(7691,688) ",1.00,0.042023
SSD,22,"(7691,688) ",0.00,0.022383
PCC,23,"(7691,688) ",1.00,0.040228
SSD,23,"(7691,688) ",0.00,0.021905
PCC,24,"(7691,688) ",1.00,0.037640
SSD,24,"(7691,688) ",0.00,0.021062
PCC,25,"(7691,688) ",1.00,0.037358
SSD,25,"(7691,688) ",0.00,0.021161
PCC,26,"(7691,688) ",1.00,0.037486
SSD,26,"(7691,688) ",0.00,0.020540
PCC,27,"(7691,688) ",1.00,0.038648
SSD,27,"(7691,688) ",0.00,0.020595
PCC,28,"(7691,688) ",1.00,0.037573
SSD,28,"(7691,688) ",0.00,0.019380
PCC,29,"(7691,688) ",1.00,0.036076
SSD,29,"(7691,688) ",0.00,0.020223
PCC,30,"(7691,688) ",1.00,0.034592
SSD,30,"(7691,688) ",0.00,0.020131
PCC,31,"(7691,688) ",1.00,0.035156
SSD,31,"(7691,688) ",0.00,0.019996
PCC,32,"(7691,688) ",1.00,0.035001
SSD,32,"(7691,688) ",0.00,0.024310
